Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
16,17,1,scene_copresence,Les Tavas,45.051365,4.33872,1005,A_Jeannine_2573_Plateau,3,2,4,,,
22,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,5,4,6,,,
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
0,22,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
10,22,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
10,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
10,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
22,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
22,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
24,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,6,5,7,,,
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,22,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,22,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
10,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
11,22,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
11,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
11,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
11,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
11,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
22,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
22,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
22,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
22,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
24,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
24,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
24,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
27,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
27,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
28,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,,,
27,28,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,A_Jeannine_2573_Plateau,7,6,8,touch,verb.communication,
