Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,1,0,2,,,
0,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,5,4,6,,,
41,73,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Bohny_50.030.0031_Plateau_Rescuer,8,7,9,,,
41,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Bohny_50.030.0031_Plateau_Rescuer,8,7,9,,,
73,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Bohny_50.030.0031_Plateau_Rescuer,8,7,9,,,
41,77,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,9,8,10,,,
41,78,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,9,8,10,,,
77,78,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,9,8,10,,,
42,86,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,14,13,15,,,
42,88,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,14,13,15,,,
86,88,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,14,13,15,,,
42,86,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,15,14,16,,,
42,88,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,15,14,16,,,
86,88,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,15,14,16,,,
104,105,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
104,106,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
104,107,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
104,99,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
105,106,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
105,107,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
105,99,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
106,107,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
106,99,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
107,99,1,scene_copresence,L'Abric,45.06056,4.311144,997,Bohny_50.030.0031_Plateau_Rescuer,23,22,24,,,
0,112,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,113,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,114,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,115,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,99,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
112,113,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
112,114,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
112,115,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
112,99,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
113,114,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
113,115,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
113,99,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
114,115,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
114,99,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
115,99,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,112,1,scene_copresence,Plateau Vivarais,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,113,1,scene_copresence,Plateau Vivarais,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,114,1,scene_copresence,Plateau Vivarais,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
0,115,1,scene_copresence,Plateau Vivarais,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
