Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
251,they,they/them/their,3,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
258,the refugees,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
394,the Resistance troops,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
177,the church ministers,they/them/their,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
219,these children,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
260,the adults,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
167,40 children,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
436,they,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
49,The Huguenots,they/them/their,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
438,a cook,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
44,Georges ) Lamirand,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
78,the children who were interned,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
487,we,unknown,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
409,800 children who were in Chambon - sur - Lignon between 1941 and 1944 and who took something with them from their experiences in Chambon - sur - Lignon,they/them/their,3,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
169,the children 's aid society,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
261,those who were there for the children such as the citizenry,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
66,August,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
496,they,they/them/their,2,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
440,a handyman,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
99,we,unknown,57,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
240,A gendarme,he/him/his,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
48,Mr. Steckler,he/him/his,3,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
196,the director of the Guespy home,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
60,Mrs. Forestier,she/her,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
106,"Jewish children from France , and others , and about two - thirds were from the cities",they/them/their,2,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
88,the young people,they/them/their,8,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
187,72 people who were to be taken,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
115,other children,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
489,Pastor ( AndrÃ © ) TrocmÃ ©,he/him/his,2,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
212,the citizenry,unknown,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
232,the 72 refugees,unknown,2,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
77,the minister from Le Chambon - sur - Lignon,he/him/his,4,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
194,house ) personnel,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
252,not one of the 72 refugees,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
244,a Jewish refugee,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
435,a deaf - mute nephew,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
172,around 200 children in the village,,0,Character,Bohny_50.030.0031_Plateau_Rescuer,,,
