Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,56,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
0,58,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
0,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
56,58,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
56,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
58,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,6,5,7,,,
0,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
0,58,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
0,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
0,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
32,58,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
32,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
32,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
58,59,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
58,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
59,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_50.030.0272_Plateau,8,7,9,,,
0,178,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,180,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,184,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,33,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
0,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,180,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,184,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,33,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
178,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,184,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,33,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
180,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
184,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
184,33,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
184,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
184,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
184,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
32,33,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
32,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
32,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
32,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
33,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
33,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
33,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
62,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
62,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
63,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau,10,9,11,,,
