Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
16,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
16,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
16,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
17,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
17,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
18,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,3,2,4,,,
0,10,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,22,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,23,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,25,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,26,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
10,22,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
10,23,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
10,25,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
10,26,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
10,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
22,23,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
22,25,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
22,26,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
22,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
23,25,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
23,26,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
23,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
25,26,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
25,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
26,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau,8,7,9,,,
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,29,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
0,33,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
10,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
10,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Peter_28408_Plateau,12,11,13,,,
