Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,7,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
0,8,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
7,8,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
7,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
8,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,12,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,14,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,2,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
10,12,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
10,14,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
10,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
10,2,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
10,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
12,14,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
12,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
12,2,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
12,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
14,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
14,2,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
14,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
15,2,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
15,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
2,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
0,14,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
14,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
14,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
14,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
17,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
17,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
18,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
0,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
17,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
19,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
21,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
21,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
21,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
21,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
23,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
23,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
23,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
24,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
24,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
25,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,,,
20,0,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,tell,verb.communication,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
0,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
17,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
21,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
21,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
21,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
21,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
23,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
23,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
23,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
24,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
24,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
25,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,,,
20,0,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,tell,verb.communication,
0,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
0,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
0,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
0,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
0,39,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
0,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish,20,19,21,,,
