Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
8,We,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
9,you,unknown,4,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
0,I,they/them/their,8,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
45,the parents,unknown,2,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
34,"Some , some",they/them/their,2,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
18,Huguenots,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
15,the one who was all protecting you or giving you up,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
20,this pastor,he/him/his,5,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
7,Fink,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
17,They,they/them/their,6,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
19,they people who had remembered from 1400 that they had been persecuted,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
23,his wife,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
25,the very first one to arrive in Le Chambon - sur - Lignon,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
41,we,unknown,8,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
24,his children,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
27,five thousand farmers in that place,they/them/their,3,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
12,their priest,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
30,you,unknown,7,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
14,the priest,he/him/his,3,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
2,Le Chambon - sur - Lignon,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
26,German Jews,they/them/their,2,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
42,children,they/them/their,4,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
10,My children,they/them/their,2,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
38,the children there,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
21,the head of this little town of Le Chambon - sur - Lignon with his wife and his children,,0,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
39,two little children,they/them/their,2,Character,Fink_50.042.0011_Plateau_RescuerJewish,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Fink_50.042.0011_Plateau_RescuerJewish,45.06081,4.302941,961.0
