Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
0,13,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
0,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
0,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
10,13,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
10,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
10,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
10,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
10,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
13,23,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
13,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
13,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
13,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
23,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
23,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
23,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
24,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
24,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
25,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
34,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish,23,22,24,,,
