Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
23,my kids,they/them/their,11,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
10,Pastor Trocme,he/him/his,16,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
9,Phillip Hallie,,0,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
25,people,they/them/their,8,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
13,you,unknown,5,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
0,I,they/them/their,46,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
24,one of those who was getting people to come to him and ask for asylum,,0,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
38,A couple of my friends,they/them/their,8,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
34,Nobody,unknown,3,Character,Fink_50.156.0012_PlateauRescuerJewish,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Fink_50.156.0012_PlateauRescuerJewish,45.06081,4.302941,961.0
