Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
19,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,0,0,1,,,
19,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,0,0,1,,,
28,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,0,0,1,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,9,8,10,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
0,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
0,39,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
0,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
0,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
20,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
20,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
20,39,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
20,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
20,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
21,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
21,39,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
21,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
21,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
31,39,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
31,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
31,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
39,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
39,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
40,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,18,17,19,,,
31,42,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
31,43,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
31,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
31,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
42,43,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
42,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
42,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
43,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
43,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
44,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,26,25,27,,,
22,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,28,27,29,,,
22,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,28,27,29,,,
31,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,28,27,29,,,
24,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
24,49,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
24,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
25,49,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
25,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
49,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,39,38,40,,,
24,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
24,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
24,49,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
24,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
25,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
25,49,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
25,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
26,49,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
26,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
49,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,40,39,41,,,
0,52,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,44,43,45,,,
25,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
25,61,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
25,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
25,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
53,61,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
53,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
53,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
61,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
61,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
62,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,51,50,52,,,
53,61,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
53,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
53,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
61,62,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
61,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
62,63,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,53,52,54,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,68,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
24,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
24,68,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
24,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
24,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
24,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
53,68,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
53,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
53,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
53,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
68,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
68,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
68,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
69,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
69,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
71,72,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,57,56,58,,,
0,69,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
0,73,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
0,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
0,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
0,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
69,73,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
69,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
69,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
69,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
73,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
73,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
73,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
74,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
74,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
75,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,61,60,62,,,
0,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
0,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
0,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
74,75,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
74,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
75,76,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau,62,61,63,,,
