Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
0,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
16,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
30,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,32,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
31,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
32,34,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
32,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.030.0111_Plateau,3,2,4,,,
