Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
43,the children,they/them/their,55,Character,Koenig_50.030.0111_Plateau,,,
9,Gurs,,0,Character,Koenig_50.030.0111_Plateau,,,
36,parents,,0,Character,Koenig_50.030.0111_Plateau,,,
37,the teacher,she/her,4,Character,Koenig_50.030.0111_Plateau,,,
0,myself,they/them/their,162,Character,Koenig_50.030.0111_Plateau,,,
35,my father,he/him/his,6,Character,Koenig_50.030.0111_Plateau,,,
180,the American Quakers,unknown,2,Character,Koenig_50.030.0111_Plateau,,,
181,They,they/them/their,2,Character,Koenig_50.030.0111_Plateau,,,
104,the girls,they/them/their,6,Character,Koenig_50.030.0111_Plateau,,,
34,a German teacher,,0,Character,Koenig_50.030.0111_Plateau,,,
15,Elizabeth Koenig,she/her,2,Character,Koenig_50.030.0111_Plateau,,,
17,Paster TrocmÃ ©,,0,Character,Koenig_50.030.0111_Plateau,,,
100,you,unknown,3,Character,Koenig_50.030.0111_Plateau,,,
196,our very dear Elizabeth,,0,Character,Koenig_50.030.0111_Plateau,,,
32,my Latin teacher,she/her,2,Character,Koenig_50.030.0111_Plateau,,,
64,a lot of the children,,0,Character,Koenig_50.030.0111_Plateau,,,
106,the boys,they/them/their,6,Character,Koenig_50.030.0111_Plateau,,,
41,their daughter,,0,Character,Koenig_50.030.0111_Plateau,,,
58,children,unknown,2,Character,Koenig_50.030.0111_Plateau,,,
12,the Secours Suisse,,0,Character,Koenig_50.030.0111_Plateau,,,
195,our,,0,Character,Koenig_50.030.0111_Plateau,,,
30,we,unknown,2,Character,Koenig_50.030.0111_Plateau,,,
40,my parents,they/them/their,3,Character,Koenig_50.030.0111_Plateau,,,
22,Mother TrocmÃ ©,,0,Character,Koenig_50.030.0111_Plateau,,,
98,the other,,0,Character,Koenig_50.030.0111_Plateau,,,
102,the children from Gurs were,,0,Character,Koenig_50.030.0111_Plateau,,,
31,"the lady who was my Latin teacher , who had gone into a village to become a German teacher , and she wrote me and my father",,0,Character,Koenig_50.030.0111_Plateau,,,
38,Pastor TrocmÃ © 's children,,0,Character,Koenig_50.030.0111_Plateau,,,
16,Pastor TrocmÃ ©,he/him/his,18,Character,Koenig_50.030.0111_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Koenig_50.030.0111_Plateau,45.06081,4.302941,961.0
LOC_La_Guespy,La Guespy,,,Location,Koenig_50.030.0111_Plateau,45.062374,4.312919,1006.0
