Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,10,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
0,5,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
0,6,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
0,7,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
0,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
10,5,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
10,6,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
10,7,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
10,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
5,6,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
5,7,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
5,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
6,7,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
6,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
7,9,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,,,
0,10,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,1,0,2,contact,verb.communication,
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,25,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,26,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
0,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
18,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau,7,6,8,,,
