Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
9,the Trocme family,,0,Character,Koenig_50.549.02.0002_Plateau,,,
8,Petain,,0,Character,Koenig_50.549.02.0002_Plateau,,,
36,the Jewish children of Le Chambon - sur - Lignon,,0,Character,Koenig_50.549.02.0002_Plateau,,,
37,the Swiss,,0,Character,Koenig_50.549.02.0002_Plateau,,,
0,me,they/them/their,3,Character,Koenig_50.549.02.0002_Plateau,,,
35,the children,,0,Character,Koenig_50.549.02.0002_Plateau,,,
18,a single family,,0,Character,Koenig_50.549.02.0002_Plateau,,,
20,their,,0,Character,Koenig_50.549.02.0002_Plateau,,,
7,Pastor Trocme,,0,Character,Koenig_50.549.02.0002_Plateau,,,
19,two or three devoted citizens,,0,Character,Koenig_50.549.02.0002_Plateau,,,
25,one of our colleagues,he/him/his,9,Character,Koenig_50.549.02.0002_Plateau,,,
24,we,unknown,5,Character,Koenig_50.549.02.0002_Plateau,,,
27,the French police,,0,Character,Koenig_50.549.02.0002_Plateau,,,
33,the mayor of the city,,0,Character,Koenig_50.549.02.0002_Plateau,,,
26,our colleagues,,0,Character,Koenig_50.549.02.0002_Plateau,,,
31,very young children,,0,Character,Koenig_50.549.02.0002_Plateau,,,
10,the Quaker in the United States,,0,Character,Koenig_50.549.02.0002_Plateau,,,
6,the Quakers,they/them/their,5,Character,Koenig_50.549.02.0002_Plateau,,,
5,Elizabeth Koenig,,0,Character,Koenig_50.549.02.0002_Plateau,,,
21,their neighbors,,0,Character,Koenig_50.549.02.0002_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Koenig_50.549.02.0002_Plateau,45.06081,4.302941,961.0
