Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,30,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
0,75,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
0,76,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
0,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
30,75,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
30,76,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
30,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
75,76,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
75,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
76,77,1,scene_copresence,La Guespy,45.062374,4.312919,1006,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
0,24,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
0,78,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
0,81,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
0,82,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
0,83,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
24,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
24,78,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
24,81,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
24,82,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
