Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
152,The farmer,he/him/his,4,Character,Lewin_Diary_EnglishTrans_Plateau,,,
43,THE GENDARMES,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
8,Mademoiselle Usach,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
135,They,they/them/their,4,Character,Lewin_Diary_EnglishTrans_Plateau,,,
0,my,they/them/their,101,Character,Lewin_Diary_EnglishTrans_Plateau,,,
35,Walter,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
45,Madame Philip,she/her,13,Character,Lewin_Diary_EnglishTrans_Plateau,,,
52,Pastor Trocme,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
192,We,unknown,3,Character,Lewin_Diary_EnglishTrans_Plateau,,,
186,the schoolmaster,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
83,us,unknown,38,Character,Lewin_Diary_EnglishTrans_Plateau,,,
184,Pastor Trocme 's son,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
23,Martin,he/him/his,10,Character,Lewin_Diary_EnglishTrans_Plateau,,,
41,Mutter,they/them/their,2,Character,Lewin_Diary_EnglishTrans_Plateau,,,
24,Hanne,she/her,10,Character,Lewin_Diary_EnglishTrans_Plateau,,,
81,refugee kids in Le Chambon - sur - Lignon,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
115,my friend,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
110,everyone else,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
95,The gendarmes,they/them/their,18,Character,Lewin_Diary_EnglishTrans_Plateau,,,
30,Jewish,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
134,Mutter,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
185,the son of the schoolmaster,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
53,Marco Darcissac,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
190,my whole family,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
75,refugee kids like me,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
182,a Boy Scout,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
183,the Boy Scouts,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
78,the others I came with,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
77,the kids,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
133,everyone,they/them/their,7,Character,Lewin_Diary_EnglishTrans_Plateau,,,
31,Monsieur Bohny,he/him/his,4,Character,Lewin_Diary_EnglishTrans_Plateau,,,
42,Vater,she/her,2,Character,Lewin_Diary_EnglishTrans_Plateau,,,
191,my friends,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
76,Lots of the kids,they/them/their,2,Character,Lewin_Diary_EnglishTrans_Plateau,,,
113,people,unknown,2,Character,Lewin_Diary_EnglishTrans_Plateau,,,
82,The lady who is in charge of us here at La Guespy,she/her,3,Character,Lewin_Diary_EnglishTrans_Plateau,,,
141,We,unknown,13,Character,Lewin_Diary_EnglishTrans_Plateau,,,
87,"A nice Austrian refugee named Elisabeth , who speaks perfect French",she/her,2,Character,Lewin_Diary_EnglishTrans_Plateau,,,
179,the German soldiers sitting on the train,they/them/their,5,Character,Lewin_Diary_EnglishTrans_Plateau,,,
51,Jean - Pierre,,0,Character,Lewin_Diary_EnglishTrans_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Lewin_Diary_EnglishTrans_Plateau,45.06081,4.302941,961.0
LOC_Plateau_Vivarais,Plateau Vivarais,,,Location,Lewin_Diary_EnglishTrans_Plateau,45.06081,4.302941,961.0
LOC_La_Guespy,La Guespy,,,Location,Lewin_Diary_EnglishTrans_Plateau,45.062374,4.312919,1006.0
