Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
43,Spanish refugees,,0,Character,Lewin_Jack_58101_Plateau,,,
62,his children,,0,Character,Lewin_Jack_58101_Plateau,,,
155,Nobody,they/them/their,3,Character,Lewin_Jack_58101_Plateau,,,
36,we,unknown,3,Character,Lewin_Jack_58101_Plateau,,,
0,myself,he/him/his,75,Character,Lewin_Jack_58101_Plateau,,,
45,a lady,she/her,3,Character,Lewin_Jack_58101_Plateau,,,
52,We,unknown,27,Character,Lewin_Jack_58101_Plateau,,,
34,the Heugenots,he/him/his,2,Character,Lewin_Jack_58101_Plateau,,,
19,Spaniards,,0,Character,Lewin_Jack_58101_Plateau,,,
47,a child,,0,Character,Lewin_Jack_58101_Plateau,,,
23,Pastor Trocme,he/him/his,19,Character,Lewin_Jack_58101_Plateau,,,
64,Jewish refugees,,0,Character,Lewin_Jack_58101_Plateau,,,
56,seven children,,0,Character,Lewin_Jack_58101_Plateau,,,
60,children,,0,Character,Lewin_Jack_58101_Plateau,,,
108,a family,unknown,2,Character,Lewin_Jack_58101_Plateau,,,
156,Jews,,0,Character,Lewin_Jack_58101_Plateau,,,
94,the people,they/them/their,3,Character,Lewin_Jack_58101_Plateau,,,
30,Jews,they/them/their,2,Character,Lewin_Jack_58101_Plateau,,,
63,other people who were involved in helping Jewish refugees,,0,Character,Lewin_Jack_58101_Plateau,,,
132,the people in that village of Le Chambon - sur - Lignon,they/them/their,2,Character,Lewin_Jack_58101_Plateau,,,
61,his wife,,0,Character,Lewin_Jack_58101_Plateau,,,
131,pastor,,0,Character,Lewin_Jack_58101_Plateau,,,
75,the people of Le Chambon - sur - Lignon,they/them/their,5,Character,Lewin_Jack_58101_Plateau,,,
44,the Jewish people from Palatinate and Baden,,0,Character,Lewin_Jack_58101_Plateau,,,
46,my parents,they/them/their,4,Character,Lewin_Jack_58101_Plateau,,,
26,Dr. Le Forestier,he/him/his,3,Character,Lewin_Jack_58101_Plateau,,,
21,the Germans,they/them/their,8,Character,Lewin_Jack_58101_Plateau,,,
39,My brother,he/him/his,16,Character,Lewin_Jack_58101_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Lewin_Jack_58101_Plateau,45.06081,4.302941,961.0
