Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
214,the first group,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
123,his friends who were in a American funded student home,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
54,three girls,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
21,de Gaulle,he/him/his,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
37,you,unknown,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
126,we,unknown,4,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
0,I,he/him/his,113,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
127,any parents,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
137,the wife of AndrÃ © Philip,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
181,the young fellow,he/him/his,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
104,People who had become Protestant but were of Jewish background,they/them/their,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
34,my mother,she/her,5,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
219,the Protestant minister,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
15,Hanne,they/them/their,9,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
20,AndrÃ © Philip,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
166,anyone in the village,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
17,Jews,they/them/their,5,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
99,we,unknown,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
138,the right hand man to General de Gaulle,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
100,5000 people,unknown,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
19,Madame Philip,she/her,11,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
173,us,unknown,11,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
83,the police,unknown,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
32,us,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
218,you,unknown,13,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
23,nee Kauffman,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
56,you,unknown,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
25,nee Eanee,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
213,"four of us who went to , who were helped escape to Switzerland , I think we were the first group , because we went by railroad from Le Chambon - sur - Lignon to a village in the French Alps",,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
211,We,unknown,9,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
217,Protestant ministers,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
41,they,they/them/their,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
223,one,unknown,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
24,Wiltrud Lavell,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
222,they,they/them/their,7,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
49,we,unknown,35,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
122,his,he/him/his,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
174,these people,they/them/their,4,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
86,the farmer,he/him/his,15,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
136,another young fellow,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
95,Jewish people,unknown,2,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
134,two rabbis,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
93,a Mr. Seches,they/them/their,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
55,anyone,unknown,3,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
53,four boys,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
238,50 people,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
92,no Jewish person,,0,Character,LiebmannH-M_RG-50.549.02.0015_Plateau,,,
