Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
89,the other children,,0,Character,LiebmannH_50.030.0133_Plateau,,,
163,their parents,,0,Character,LiebmannH_50.030.0133_Plateau,,,
43,parents,they/them/their,3,Character,LiebmannH_50.030.0133_Plateau,,,
36,my mother,she/her,13,Character,LiebmannH_50.030.0133_Plateau,,,
80,a maid in a preventorium that was just outside of Le Chambon - sur - Lignon,,0,Character,LiebmannH_50.030.0133_Plateau,,,
0,myself,they/them/their,160,Character,LiebmannH_50.030.0133_Plateau,,,
35,A social worker from the OSE,,0,Character,LiebmannH_50.030.0133_Plateau,,,
180,my boyfriend,he/him/his,7,Character,LiebmannH_50.030.0133_Plateau,,,
48,we,unknown,23,Character,LiebmannH_50.030.0133_Plateau,,,
83,We,,0,Character,LiebmannH_50.030.0133_Plateau,,,
47,teenagers,,0,Character,LiebmannH_50.030.0133_Plateau,,,
32,Mr. Bohny,he/him/his,7,Character,LiebmannH_50.030.0133_Plateau,,,
201,a man,he/him/his,3,Character,LiebmannH_50.030.0133_Plateau,,,
195,my family,they/them/their,6,Character,LiebmannH_50.030.0133_Plateau,,,
86,children who were in danger of getting TB,,0,Character,LiebmannH_50.030.0133_Plateau,,,
84,children,,0,Character,LiebmannH_50.030.0133_Plateau,,,
151,my friends,they/them/their,7,Character,LiebmannH_50.030.0133_Plateau,,,
160,you,unknown,3,Character,LiebmannH_50.030.0133_Plateau,,,
28,TB,,0,Character,LiebmannH_50.030.0133_Plateau,,,
78,they,,0,Character,LiebmannH_50.030.0133_Plateau,,,
4,Le Chambon - sur - Lignon,,0,Character,LiebmannH_50.030.0133_Plateau,,,
199,this woman my family had found,,0,Character,LiebmannH_50.030.0133_Plateau,,,
46,six other young people,,0,Character,LiebmannH_50.030.0133_Plateau,,,
96,We,unknown,57,Character,LiebmannH_50.030.0133_Plateau,,,
162,most of their parents,,0,Character,LiebmannH_50.030.0133_Plateau,,,
148,The razzias,,0,Character,LiebmannH_50.030.0133_Plateau,,,
38,young people,they/them/their,2,Character,LiebmannH_50.030.0133_Plateau,,,
21,the OSE,,0,Character,LiebmannH_50.030.0133_Plateau,,,
85,children with TB,they/them/their,9,Character,LiebmannH_50.030.0133_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,LiebmannH_50.030.0133_Plateau,45.06081,4.302941,961.0
LOC_La_Guespy,La Guespy,,,Location,LiebmannH_50.030.0133_Plateau,45.062374,4.312919,1006.0
