Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
26,young people to survive,,0,Character,LiebmannH_50.233.0072_Plateau,,,
29,the social worker,,0,Character,LiebmannH_50.233.0072_Plateau,,,
30,we,unknown,2,Character,LiebmannH_50.233.0072_Plateau,,,
31,The people there,,0,Character,LiebmannH_50.233.0072_Plateau,,,
132,no one,,0,Character,LiebmannH_50.233.0072_Plateau,,,
23,my mother,she/her,4,Character,LiebmannH_50.233.0072_Plateau,,,
25,"people who wanted to help young people to survive , to get out of the camps",,0,Character,LiebmannH_50.233.0072_Plateau,,,
0,I,she/her,54,Character,LiebmannH_50.233.0072_Plateau,,,
40,the seven of us who originally came from Gurs,unknown,13,Character,LiebmannH_50.233.0072_Plateau,,,
131,that man,,0,Character,LiebmannH_50.233.0072_Plateau,,,
22,a social worker,,0,Character,LiebmannH_50.233.0072_Plateau,,,
41,seven young people who left Gurs together,,0,Character,LiebmannH_50.233.0072_Plateau,,,
38,The two of them,,0,Character,LiebmannH_50.233.0072_Plateau,,,
129,you,unknown,2,Character,LiebmannH_50.233.0072_Plateau,,,
21,Annemasse,,0,Character,LiebmannH_50.233.0072_Plateau,,,
128,my family,they/them/their,3,Character,LiebmannH_50.233.0072_Plateau,,,
39,them,,0,Character,LiebmannH_50.233.0072_Plateau,,,
130,a guide,,0,Character,LiebmannH_50.233.0072_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,LiebmannH_50.233.0072_Plateau,45.06081,4.302941,961.0
