Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
0,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
15,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
15,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
15,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
15,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
16,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
16,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
16,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
17,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
17,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
18,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,2,1,3,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
0,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
0,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
11,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
11,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
11,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
15,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
15,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
16,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,5,4,6,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
0,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
11,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
11,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
15,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,6,5,7,,,
0,15,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,7,6,8,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
0,29,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
0,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
11,29,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
11,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
11,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
29,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
29,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
30,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,19,18,20,,,
0,11,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
0,65,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
0,67,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
11,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
11,65,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
11,67,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
19,65,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
19,67,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
65,67,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,53,52,54,,,
0,71,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,58,57,59,,,
0,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,58,57,59,,,
71,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,58,57,59,,,
19,74,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,63,62,64,,,
19,80,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,63,62,64,,,
19,83,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,63,62,64,,,
19,84,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,LiebmannM_50.030.0134_Plateau,63,62,64,,,
