Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,17,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
0,18,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
0,35,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
0,43,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
17,18,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
17,35,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
17,43,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
18,35,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
18,43,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
35,43,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,17,16,18,,,
0,43,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
0,45,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
0,47,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
43,45,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
43,47,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
45,47,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,20,19,21,,,
0,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
0,52,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
0,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
0,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
50,52,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
50,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
50,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
52,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
52,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
53,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,,,
53,54,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,23,22,24,help,verb.social,
0,50,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
0,52,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
0,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
0,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
50,52,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
50,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
50,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
52,53,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
52,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
53,54,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,,,
53,54,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau,24,23,25,help,verb.social,
17,56,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,61,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,65,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
17,67,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,61,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,65,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
56,67,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
61,62,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
61,63,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
61,64,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
61,65,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
61,67,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau,36,35,37,,,
