Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
43,big boys,they/them/their,2,Character,Pariente_Fanny_5020_Plateau,,,
62,we,,0,Character,Pariente_Fanny_5020_Plateau,,,
54,Jewish persons,,0,Character,Pariente_Fanny_5020_Plateau,,,
80,we,unknown,5,Character,Pariente_Fanny_5020_Plateau,,,
0,I,they/them/their,66,Character,Pariente_Fanny_5020_Plateau,,,
35,everybody,unknown,4,Character,Pariente_Fanny_5020_Plateau,,,
45,we,unknown,3,Character,Pariente_Fanny_5020_Plateau,,,
52,You,,0,Character,Pariente_Fanny_5020_Plateau,,,
70,a pastor in Chambon - sur - Lignon,,0,Character,Pariente_Fanny_5020_Plateau,,,
18,Mr. Andre Trotman,,0,Character,Pariente_Fanny_5020_Plateau,,,
17,Mr. Trocme,he/him/his,15,Character,Pariente_Fanny_5020_Plateau,,,
83,a Jewish girl from Belgium in Les Grillons,,0,Character,Pariente_Fanny_5020_Plateau,,,
47,too many boys,they/them/their,2,Character,Pariente_Fanny_5020_Plateau,,,
71,ourselves,unknown,2,Character,Pariente_Fanny_5020_Plateau,,,
64,nobody at Les Grillons,,0,Character,Pariente_Fanny_5020_Plateau,,,
56,They,they/them/their,10,Character,Pariente_Fanny_5020_Plateau,,,
13,the WIZO,they/them/their,2,Character,Pariente_Fanny_5020_Plateau,,,
81,our parents,they/them/their,5,Character,Pariente_Fanny_5020_Plateau,,,
69,his brother,,0,Character,Pariente_Fanny_5020_Plateau,,,
63,nobody,,0,Character,Pariente_Fanny_5020_Plateau,,,
84,Jewish kids,,0,Character,Pariente_Fanny_5020_Plateau,,,
53,people,,0,Character,Pariente_Fanny_5020_Plateau,,,
61,You,unknown,2,Character,Pariente_Fanny_5020_Plateau,,,
75,the parents,they/them/their,3,Character,Pariente_Fanny_5020_Plateau,,,
67,German soldier,,0,Character,Pariente_Fanny_5020_Plateau,,,
76,my brother,he/him/his,6,Character,Pariente_Fanny_5020_Plateau,,,
50,they,,0,Character,Pariente_Fanny_5020_Plateau,,,
65,all the boys,,0,Character,Pariente_Fanny_5020_Plateau,,,
85,other kids whose parents were in the resistance,,0,Character,Pariente_Fanny_5020_Plateau,,,
LOC_Les_Grillons,Les Grillons,,,Location,Pariente_Fanny_5020_Plateau,45.07128,4.326289,1067.0
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Pariente_Fanny_5020_Plateau,45.06081,4.302941,961.0
