Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
89,They,they/them/their,5,Character,Salomon_Hans_22257_Plateau,,,
90,"the clergy of the church in , in Chambon - sur - Lignon",,0,Character,Salomon_Hans_22257_Plateau,,,
135,my parents,,0,Character,Salomon_Hans_22257_Plateau,,,
36,Eugene Cotte,,0,Character,Salomon_Hans_22257_Plateau,,,
0,myself,he/him/his,51,Character,Salomon_Hans_22257_Plateau,,,
35,Pastor Trocme,he/him/his,3,Character,Salomon_Hans_22257_Plateau,,,
137,the man,he/him/his,2,Character,Salomon_Hans_22257_Plateau,,,
70,five boys,,0,Character,Salomon_Hans_22257_Plateau,,,
34,Magda Trocme,,0,Character,Salomon_Hans_22257_Plateau,,,
99,5000 Jews,,0,Character,Salomon_Hans_22257_Plateau,,,
100,people that sheltered Jews and their next door neighbor,they/them/their,3,Character,Salomon_Hans_22257_Plateau,,,
25,Shlomo Schlarnak,they/them/their,2,Character,Salomon_Hans_22257_Plateau,,,
60,a splinter group of the Protestant church,,0,Character,Salomon_Hans_22257_Plateau,,,
58,people that live there,,0,Character,Salomon_Hans_22257_Plateau,,,
27,Kurt Moerner,,0,Character,Salomon_Hans_22257_Plateau,,,
109,a farmer,he/him/his,2,Character,Salomon_Hans_22257_Plateau,,,
24,Tracy Strong,she/her,13,Character,Salomon_Hans_22257_Plateau,,,
101,their next door neighbor,,0,Character,Salomon_Hans_22257_Plateau,,,
88,his wife,,0,Character,Salomon_Hans_22257_Plateau,,,
136,one man in Le Chambon - sur - Lignon,he/him/his,2,Character,Salomon_Hans_22257_Plateau,,,
94,your neighbor,unknown,2,Character,Salomon_Hans_22257_Plateau,,,
95,self,,0,Character,Salomon_Hans_22257_Plateau,,,
30,Jews,they/them/their,3,Character,Salomon_Hans_22257_Plateau,,,
63,No one,unknown,2,Character,Salomon_Hans_22257_Plateau,,,
55,we,unknown,11,Character,Salomon_Hans_22257_Plateau,,,
92,you,unknown,3,Character,Salomon_Hans_22257_Plateau,,,
40,Pierre Stocher,he/him/his,3,Character,Salomon_Hans_22257_Plateau,,,
33,Andre Trocme,,0,Character,Salomon_Hans_22257_Plateau,,,
28,Herbert Sterner,,0,Character,Salomon_Hans_22257_Plateau,,,
103,these people,,0,Character,Salomon_Hans_22257_Plateau,,,
72,two fellows,they/them/their,6,Character,Salomon_Hans_22257_Plateau,,,
26,Egon Gruenhut,,0,Character,Salomon_Hans_22257_Plateau,,,
102,the next door neighbor,,0,Character,Salomon_Hans_22257_Plateau,,,
140,"some of the students and people that lived in the , in that house",,0,Character,Salomon_Hans_22257_Plateau,,,
66,the commando,they/them/their,5,Character,Salomon_Hans_22257_Plateau,,,
96,ourselves,unknown,10,Character,Salomon_Hans_22257_Plateau,,,
105,they,,0,Character,Salomon_Hans_22257_Plateau,,,
141,the students,,0,Character,Salomon_Hans_22257_Plateau,,,
87,Pastor Andre Trocme,he/him/his,3,Character,Salomon_Hans_22257_Plateau,,,
59,Huguenots,,0,Character,Salomon_Hans_22257_Plateau,,,
39,Rosh Shoshana,,0,Character,Salomon_Hans_22257_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Salomon_Hans_22257_Plateau,45.06081,4.302941,961.0
