Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,16,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,1,0,2,,,
0,33,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,1,0,2,,,
16,33,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,1,0,2,,,
0,33,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,2,1,3,,,
0,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,2,1,3,,,
33,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,2,1,3,,,
0,33,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
0,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
0,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
0,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
0,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
33,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
33,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
33,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
33,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
35,36,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
35,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
35,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
36,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
36,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
37,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,4,3,5,,,
0,35,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
0,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
0,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
0,47,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
35,37,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
35,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
35,47,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
37,44,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
37,47,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
44,47,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,9,8,10,,,
0,17,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,12,11,13,,,
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau,12,11,13,,,
