Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
163,we,unknown,23,Character,Sauvage_50.030.0202_Plateau,,,
62,"a doctor who had trained under Albert Schweitzer in Africa , dealing with all sorts of problems and apparently had a reputation as a bit of a medical genius",,0,Character,Sauvage_50.030.0202_Plateau,,,
123,the people in Le Chambon - sur - Lignon,,0,Character,Sauvage_50.030.0202_Plateau,,,
147,her parents,unknown,2,Character,Sauvage_50.030.0202_Plateau,,,
36,a friend,,0,Character,Sauvage_50.030.0202_Plateau,,,
37,my father,he/him/his,4,Character,Sauvage_50.030.0202_Plateau,,,
35,My mother,she/her,13,Character,Sauvage_50.030.0202_Plateau,,,
0,I,they/them/their,83,Character,Sauvage_50.030.0202_Plateau,,,
126,nobody,,0,Character,Sauvage_50.030.0202_Plateau,,,
127,they,,0,Character,Sauvage_50.030.0202_Plateau,,,
168,these people,they/them/their,6,Character,Sauvage_50.030.0202_Plateau,,,
104,Jews who were in the area,they/them/their,4,Character,Sauvage_50.030.0202_Plateau,,,
70,They,they/them/their,6,Character,Sauvage_50.030.0202_Plateau,,,
18,Albert Schweitzer,,0,Character,Sauvage_50.030.0202_Plateau,,,
20,Jewish,,0,Character,Sauvage_50.030.0202_Plateau,,,
17,Jews,they/them/their,3,Character,Sauvage_50.030.0202_Plateau,,,
161,righteous Christians,,0,Character,Sauvage_50.030.0202_Plateau,,,
83,You,unknown,14,Character,Sauvage_50.030.0202_Plateau,,,
47,this friend,he/him/his,3,Character,Sauvage_50.030.0202_Plateau,,,
19,the Nazis,,0,Character,Sauvage_50.030.0202_Plateau,,,
124,the TrocmÃ © family,,0,Character,Sauvage_50.030.0202_Plateau,,,
64,the first of the area to be committed to non - violent resistance against the Nazis,,0,Character,Sauvage_50.030.0202_Plateau,,,
23,Fay,,0,Character,Sauvage_50.030.0202_Plateau,,,
56,we,,0,Character,Sauvage_50.030.0202_Plateau,,,
112,You,unknown,3,Character,Sauvage_50.030.0202_Plateau,,,
25,Catholics,,0,Character,Sauvage_50.030.0202_Plateau,,,
27,the Heritiers,they/them/their,13,Character,Sauvage_50.030.0202_Plateau,,,
122,the people,,0,Character,Sauvage_50.030.0202_Plateau,,,
129,the forger for the village,,0,Character,Sauvage_50.030.0202_Plateau,,,
117,roughly ten percent of Catholics,,0,Character,Sauvage_50.030.0202_Plateau,,,
128,the young Jew who was the forger for the village . And that was a key component in what went on there,,0,Character,Sauvage_50.030.0202_Plateau,,,
115,"The people in , in Le Mazet",,0,Character,Sauvage_50.030.0202_Plateau,,,
110,we,unknown,3,Character,Sauvage_50.030.0202_Plateau,,,
94,one,,0,Character,Sauvage_50.030.0202_Plateau,,,
95,"A brilliant , brilliant man",,0,Character,Sauvage_50.030.0202_Plateau,,,
63,a medical genius,,0,Character,Sauvage_50.030.0202_Plateau,,,
84,the people of Le Chambon - sur - Lignon,they/them/their,30,Character,Sauvage_50.030.0202_Plateau,,,
159,those people,,0,Character,Sauvage_50.030.0202_Plateau,,,
53,they,,0,Character,Sauvage_50.030.0202_Plateau,,,
160,that community,,0,Character,Sauvage_50.030.0202_Plateau,,,
