Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
251,she,she/her,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
580,our,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
35,Les Grillons,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
356,we,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
597,you,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
588,minister 's wife,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
574,the groups youth groups,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
585,a elementary school teacher,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
569,the director of the house,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
586,a college teacher in Le Chambon - sur - Lignon,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
338,you,unknown,13,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
353,the Maquis,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
527,you,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
524,the Jews who were there,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
129,each other,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
536,my sons,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
228,the people who were helping her in Le Chambon - sur - Lignon,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
592,such a preacher,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
335,Italian half Russian,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
301,We,unknown,5,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
535,one of my sons,he/him/his,7,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
33,Trocme,he/him/his,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
602,they,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
78,the people,they/them/their,15,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
515,my daughter,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
312,they,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
358,people who were rescued,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
305,you,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
290,the others,they/them/their,6,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
587,minister,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
133,the people of the camp of Gurs,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
334,his mother,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
66,children specially,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
164,the young people of La Guespy,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
76,those who are rescued from the camp,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
508,them,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
310,the ancestors of those people,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
526,those who were with weapons the Maquis,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
59,Jacques,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
532,the co - founder of College Cevenol,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
85,a cousin of my husband who came,he/him/his,13,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
227,a very independent girl,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
337,the government,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
215,people,they/them/their,29,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
230,The head of the house,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
584,the inspirer,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
118,the Swiss friends,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
74,so many volunteers coming in the camps,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
34,the Quakers,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
598,his father,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
48,Mr. Rosowsky,he/him/his,7,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
304,other people,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
599,the banker who came to Le Chambon - sur - Lignon,he/him/his,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
325,the Protestants,they/them/their,5,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
294,they,they/them/their,9,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
315,a conscientious objector who was not liked very much by the church,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
336,we,unknown,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
342,the conscientious objectors,they/them/their,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
153,we,they/them/their,8,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
93,the head of this house,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
360,you,unknown,6,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
577,"the headmaster of the , who was arrested with him of the state school",,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
151,your friend,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
566,the head of the thing,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
522,the governor,he/him/his,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
582,the responsible,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
350,the Jews,they/them/their,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
346,them,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
249,the son of a woman that I had for two years in my house,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
252,her son,he/him/his,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
510,a lady,she/her,6,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
172,her husband,he/him/his,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
575,religious groups,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
62,this Hanne,she/her,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
116,Those,they/them/their,6,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
123,those seven children,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
135,her mother,she/her,8,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
0,myself,he/him/his,182,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
313,a minister like my husband who was a conscientious objector who was not liked very much by the church,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
322,We,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
246,another one who was also there,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
45,Huguenots old Huguenots,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
543,you,unknown,11,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
79,your,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
292,a doctor,he/him/his,5,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
47,the Maquis,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
571,the child woman who cleaned the house,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
154,a friend,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
495,we,unknown,17,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
317,a conscientious objector,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
41,Philip,she/her,12,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
345,a German woman,she/her,10,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
414,the children,they/them/their,11,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
600,you,unknown,7,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
605,the people in Paris,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
63,young people in Le Chambon - sur - Lignon,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
299,the doctor,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
61,Mr. TrocmÃ,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
72,the head of the Quakers,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
579,the other one of our,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
120,the first Guespy,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
296,a second child,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
583,they,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
121,the second Guespy,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
561,the Lord Mayor,he/him/his,19,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
505,he,he/him/his,3,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
96,young people,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
38,Guespy,they/them/their,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
65,my husband,he/him/his,95,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
207,somebody,they/them/their,13,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
573,you,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
39,Hanne,she/her,68,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
163,the children of the young people of La Guespy,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
297,a first child,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
43,French Jews,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
318,a strong man,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
514,the old lady,she/her,11,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
181,your husband,he/him/his,47,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
233,Everybody,they/them/their,14,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
537,we,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
175,we,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
357,a Jew who was in the Maquis,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
173,an important man,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
171,the top people in Le Chambon - sur - Lignon,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
596,a girl,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
71,his parents,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
64,another one,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
170,"one of the top people in Le Chambon - sur - Lignon , and also elsewhere . And her husband",,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
502,you,unknown,9,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
328,you,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
58,Mr. Thais,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
568,"the one who was responsible I was in a way , I was like a I do n't know the director of the house and the child woman who cleaned the house you see , I was a little bit that way , surely I was doing what was in my power and he was doing what he was he was leading the groups youth groups and all those things and in religious groups where always came things about resistance and so on and so on he was the head of the thing and even the headmaster of the , who was arrested with him of the state school and the other one of our we",,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
185,those people,unknown,6,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
343,ministers,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
40,Max,he/him/his,32,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
97,the Gestapo,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
293,his wife,she/her,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
73,we,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
46,the Germans,they/them/their,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
67,some adults,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
531,rescued children,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
42,Madame Philip,she/her,4,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
518,us,unknown,7,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
601,we,unknown,2,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
150,you,unknown,13,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
119,two Guespys,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
291,We,,0,Character,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,45.06081,4.302941,961.0
LOC_Les_Grillons,Les Grillons,,,Location,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,45.07128,4.326289,1067.0
LOC_Maison_des_Roches,Maison des Roches,,,Location,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,45.05262,4.321041,959.0
LOC_La_Guespy,La Guespy,,,Location,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,45.062374,4.312919,1006.0
LOC_Collège_Cévenol,Collège Cévenol,,,Location,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,45.06096,4.303929,961.0
