Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
89,My father,he/him/his,40,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
521,the director of one of those homes for children,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
62,a French father,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
135,the other,unknown,2,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
276,accommodate people,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
36,Magda Grilli,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
127,other refugees,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
0,mine,they/them/their,108,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
35,Andre Trocme,he/him/his,2,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
180,the pastors of Le Chambon - sur - Lignon,they/them/their,2,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
37,Jews,they/them/their,8,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
235,A group of refugees,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
233,you,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
74,the people of Le Chambon - sur - Lignon,they/them/their,7,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
279,you,unknown,4,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
547,no one,unknown,2,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
520,we,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
543,a carpenter,unknown,2,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
399,the victims of the Holocaust,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
478,"people like my mother , who are fearless , who would implement , implement anything they think is right . And she was the perfect machine . He was the intellectual , the dreamer , okay , the one who inspired people , and she was the mechanism behind it . She knew how to , knew how to implement . Well , maybe , if more people had the nerve to speak like my father did , which was a very courageous stand to take at the time",,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
79,"People who were essentially poor and also poorly dressed , whose lifestyle and eating habits were probably poor",,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
368,you,unknown,8,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
83,people,they/them/their,29,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
402,you,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
470,our,,0,Character,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,,,
