Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,13,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
0,16,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
0,17,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
0,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
13,16,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
13,17,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
13,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
16,17,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
16,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
17,32,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,,,
0,13,1,action,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,12,11,13,ask,verb.communication,
0,16,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,31,30,32,,,
0,47,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,31,30,32,,,
16,47,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,31,30,32,,,
0,16,1,action,Les Grillons,45.07128,4.326289,1067,Feigl_Diary_EnglishTrans_UTF8_Plateau,31,30,32,see,verb.perception,
