Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,18,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
0,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
0,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
18,19,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
18,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
18,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
19,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
19,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
20,21,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Feigl_Testimony28408_UTF8_Plateau,3,2,4,,,
0,11,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Testimony28408_UTF8_Plateau,8,7,9,,,
0,24,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Testimony28408_UTF8_Plateau,8,7,9,,,
0,25,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Testimony28408_UTF8_Plateau,8,7,9,,,
0,27,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Testimony28408_UTF8_Plateau,8,7,9,,,
0,28,1,scene_copresence,Les Grillons,45.07128,4.326289,1067,Feigl_Testimony28408_UTF8_Plateau,8,7,9,,,
