Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
12,Andre Trocme,they/them/their,2,Character,Feigl_Testimony28408_UTF8_Plateau,,,
53,these people,they/them/their,11,Character,Feigl_Testimony28408_UTF8_Plateau,,,
35,the pastor of the Le Chambon,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
11,Daniel Trocme,he/him/his,4,Character,Feigl_Testimony28408_UTF8_Plateau,,,
62,the Protestants,unknown,2,Character,Feigl_Testimony28408_UTF8_Plateau,,,
32,the man who ran that particular home,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
93,several other kids,they/them/their,2,Character,Feigl_Testimony28408_UTF8_Plateau,,,
28,boys,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
31,our supervisor,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
18,they,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
95,we,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
64,the thousands,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
19,police,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
25,we,unknown,3,Character,Feigl_Testimony28408_UTF8_Plateau,,,
29,girls,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
24,a young man named Daniel Trocme,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
27,"22 or 24 other kids , ranging in age from about six , seven , up to about 17 or 18",,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
59,"5,000 people",they/them/their,3,Character,Feigl_Testimony28408_UTF8_Plateau,,,
89,the groups that were attempting to fight the Germans from within France,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
0,myself,they/them/their,32,Character,Feigl_Testimony28408_UTF8_Plateau,,,
87,you,unknown,2,Character,Feigl_Testimony28408_UTF8_Plateau,,,
56,their family,unknown,2,Character,Feigl_Testimony28408_UTF8_Plateau,,,
16,the Germans,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
20,people,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
79,everybody,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
34,"the cousin of the pastor of the Le Chambon , whose name was Andre Trocme",,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
21,traveler,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
96,the people in Le Chambon,they/them/their,5,Character,Feigl_Testimony28408_UTF8_Plateau,,,
2,Les Grillons,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
71,We,unknown,12,Character,Feigl_Testimony28408_UTF8_Plateau,,,
94,this group,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
88,the resistance,,0,Character,Feigl_Testimony28408_UTF8_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Feigl_Testimony28408_UTF8_Plateau,45.06081,4.302941,961.0
LOC_Les_Grillons,Les Grillons,,,Location,Feigl_Testimony28408_UTF8_Plateau,45.07128,4.326289,1067.0
LOC_Plateau_Vivarais,Plateau Vivarais,,,Location,Feigl_Testimony28408_UTF8_Plateau,45.06081,4.302941,961.0
LOC_Collège_Cévenol,Collège Cévenol,,,Location,Feigl_Testimony28408_UTF8_Plateau,45.06096,4.303929,961.0
