Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
0,43,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,45,44,46,,,
0,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,45,44,46,,,
43,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,45,44,46,,,
0,45,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,45,44,46,put,verb.contact,
0,43,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,45,44,46,tell,verb.communication,
0,43,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,46,45,47,,,
0,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,46,45,47,,,
43,45,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,46,45,47,,,
0,45,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,46,45,47,put,verb.contact,
0,43,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,46,45,47,tell,verb.communication,
12,6,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
12,79,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
12,81,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
6,79,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
6,81,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
79,81,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,,,
79,12,1,action,Le Chambon-sur-Lignon,45.06081,4.302941,961,Fink_Testimony11744_UTF8_Plateau,68,67,69,hide,verb.social,
