Source,Target,Weight,EdgeType,Location,X_Coord,Y_Coord,Z_Coord,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
19,27,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
19,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
19,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
27,28,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
27,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
28,30,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,0,0,1,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,9,8,10,,,
0,20,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
0,31,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
0,38,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
0,40,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
0,41,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
0,42,1,scene_copresence,Le Chambon-sur-Lignon,45.06081,4.302941,961,Gruenhut_Testimony40167_UTF8_Plateau,18,17,19,,,
