Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
45,summer resident people,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
62,the famous priest in Chambon - sur - Lignon who offered passive resistance against the Germans,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
28,they,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
44,you,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
42,police,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
31,we,unknown,26,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
19,the Huguenots,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
38,the Jews,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
23,Pastor Trocme,she/her,4,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
25,Professor Hallie,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
66,us,unknown,14,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
65,them,they/them/their,5,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
24,the Germans,they/them/their,3,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
27,mostly Protestant population,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
89,the commander of the 318th foreign workers legion,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
40,Swiss soldiers,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
0,myself,they/them/their,28,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
63,a prominent person in there,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
41,the French customs officials,unknown,2,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
87,the Vichy troops,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
30,victims of war,they/them/their,2,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
43,mostly Protestant farmers,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
46,summer residents,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
82,guide,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
20,the French,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
77,Swiss immigrant,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
74,the troops,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
21,Tracy Strong,he/him/his,6,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
85,so - called domestic,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
76,French police,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
86,the cook,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
88,the minister of the fight against unemployment,he/him/his,2,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
83,my mother,she/her,4,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
75,the German troops,,0,Character,Gruenhut_Testimony40167_UTF8_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Gruenhut_Testimony40167_UTF8_Plateau,45.06081,4.302941,961.0
