Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
135,Mutter,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
53,Jean - Pierre,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
115,people,unknown,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
35,Jewish,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
9,Mademoiselle Usach,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
47,Vater,she/her,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
209,my whole family,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
210,my friends in Le Chambon,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
36,Monsieur Bohny,he/him/his,4,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
153,The farmer,he/him/his,4,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
55,Marco Darcissac,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
28,Martin,he/him/his,10,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
142,We,unknown,13,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
186,the Boy Scouts,they/them/their,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
189,the schoolmaster,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
72,friends,unknown,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
29,Hanne,she/her,10,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
97,The gendarmes,they/them/their,18,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
188,the son of the schoolmaster,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
54,Pastor Trocme,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
187,Pastor Trocme 's son,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
136,They,they/them/their,4,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
40,Walter,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
0,my,they/them/their,117,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
117,my friend,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
49,Madame Philip,she/her,13,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
134,everyone,they/them/their,7,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
46,Mutter,they/them/their,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
78,Lots of the kids,they/them/their,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
82,head of all three Swiss Aid homes for refugee kids in Le Chambon,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
79,the kids,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
77,refugee kids like me,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
85,us,unknown,38,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
84,The lady who is in charge of us here at La Guespy,she/her,3,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
183,the German soldiers sitting on the train,they/them/their,4,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
88,"A nice Austrian refugee named Elisabeth , who speaks perfect French , is helping us communicate with the people here",she/her,2,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
112,everyone else,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
83,refugee kids in Le Chambon,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
80,the others I came with,,0,Character,Lewin_Diary_EnglishTrans_UTF8_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Lewin_Diary_EnglishTrans_UTF8_Plateau,45.06081,4.302941,961.0
LOC_Plateau_Vivarais,Plateau Vivarais,,,Location,Lewin_Diary_EnglishTrans_UTF8_Plateau,45.06081,4.302941,961.0
LOC_La_Guespy,La Guespy,,,Location,Lewin_Diary_EnglishTrans_UTF8_Plateau,45.062374,4.312919,1006.0
