Id,Label,Gender,MentionCount,Type,BookID,X_Coord,Y_Coord,Z_Coord
304,one half - Jewish fellow,he/him/his,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
361,we,unknown,3,Character,Lewin_Testimony10459_UTF8_Plateau,,,
348,the seven of us children who came from Camp de Gurs to Le Chambon,they/them/their,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
55,Pastor Theis,he/him/his,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
344,"the 5,000 Jewish people",,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
333,passive resistance,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
60,Pierre Sauvage,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
119,I,they/them/their,59,Character,Lewin_Testimony10459_UTF8_Plateau,,,
226,Pastor,unknown,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
305,we,unknown,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
72,We,unknown,14,Character,Lewin_Testimony10459_UTF8_Plateau,,,
58,Madam Trocme,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
97,Jewish people,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
54,Madame Philip,she/her,51,Character,Lewin_Testimony10459_UTF8_Plateau,,,
336,you,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
15,Le Chambon,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
329,us,unknown,10,Character,Lewin_Testimony10459_UTF8_Plateau,,,
59,Mr. Darcissac,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
61,Weapons of the Spirit,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
307,the doctor,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
330,another pastor who joined us there,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
98,you,unknown,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
180,A lot of the people from the village,they/them/their,21,Character,Lewin_Testimony10459_UTF8_Plateau,,,
270,brother,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
99,your parents,they/them/their,9,Character,Lewin_Testimony10459_UTF8_Plateau,,,
345,the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
363,my friends,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
82,my brother,he/him/his,11,Character,Lewin_Testimony10459_UTF8_Plateau,,,
74,somebody,he/him/his,7,Character,Lewin_Testimony10459_UTF8_Plateau,,,
96,a lot of Jewish people,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
332,the French resistance in Le Chambon,they/them/their,2,Character,Lewin_Testimony10459_UTF8_Plateau,,,
362,a Boy Scout,,0,Character,Lewin_Testimony10459_UTF8_Plateau,,,
71,my parents,they/them/their,7,Character,Lewin_Testimony10459_UTF8_Plateau,,,
267,we,unknown,3,Character,Lewin_Testimony10459_UTF8_Plateau,,,
325,a lady,she/her,8,Character,Lewin_Testimony10459_UTF8_Plateau,,,
LOC_Le_Chambon-sur-Lignon,Le Chambon-sur-Lignon,,,Location,Lewin_Testimony10459_UTF8_Plateau,45.06081,4.302941,961.0
LOC_La_Guespy,La Guespy,,,Location,Lewin_Testimony10459_UTF8_Plateau,45.062374,4.312919,1006.0
