other_French_Location,Lat,Long,Alt
Paris,48.85341,2.3488,42
Lyon,45.74846,4.84671,173
Marseilles,43.29695,5.38107,28
Marseille,43.29695,5.38107,28
Le Puy,45.04366,3.88523,640
Le Puy-en-Velay,45.04366,3.88523,640
Puy,45.04366,3.88523,640
Puy-en-Velay,45.04366,3.88523,640
Le Puy en Velay,45.04366,3.88523,640
Puy en Velay,45.04366,3.88523,640
LePuy,45.04366,3.88523,640
Le-Puy,45.04366,3.88523,640
Le-Puy-en-Velay,45.04366,3.88523,640
Saint-Étienne,45.43389,4.39,529
Saint Étienne,45.43389,4.39,529
Saint-Etienne,45.43389,4.39,529
Saint Etienne,45.43389,4.39,529
St. Étienne,45.43389,4.39,529
St. Etienne,45.43389,4.39,529
Étienne,45.43389,4.39,529
Etienne,45.43389,4.39,529
Sainte Étienne,45.43389,4.39,529
Sainte Etienne,45.43389,4.39,529
Sainte-Etienne,45.43389,4.39,529
Sainte-Étienne,45.43389,4.39,529
St.-Étienne,45.43389,4.39,529
St.-Etienne,45.43389,4.39,529
Valence,44.9256,4.90956,126
Yssingeaux,45.14282,4.12372,864
Annemasse,46.19439,6.23775,441
Dunière-sur-Eyrieux,44.82313,4.65988,151
Dunière sur Eyrieux,44.82313,4.65988,151
Dunière,44.82313,4.65988,151
Duniere,44.82313,4.65988,151
Dunières,44.82313,4.65988,151
Dunieres,44.82313,4.65988,151
Rouen,49.44313,1.09932,21
Mulhouse,47.75205,7.32866,238
Camp de Gurs,43.27376,-0.74031,186
Gurs,43.27376,-0.74031,186
camp de Gurs,43.27376,-0.74031,186
Camp-de-Gurs,43.27376,-0.74031,186
camp-de-Gurs,43.27376,-0.74031,186
Camp de Rivesaltes,42.80791,2.89097,30
Rivesaltes,42.80791,2.89097,30
Camp-de-Rivesaltes,42.80791,2.89097,30
camp-de-Rivesaltes,42.80791,2.89097,30
Drancy,48.92583,2.44528,47
Camp de Drancy,48.92583,2.44528,47
Camp Saint-Cyprien,42.636632,3.034213,2
Camp Saint Cyprien,42.636632,3.034213,2
Saint-Cyprien,42.636632,3.034213,2
Saint Cyprien,42.636632,3.034213,2
